bucket_id,bucket_name,tier,candidate_term,sources,approve (y/n)
customer,Customer,1,account,datamuse,n
customer,Customer,1,agent,datamuse,n
customer,Customer,1,buyer,datamuse,y
customer,Customer,1,client,datamuse|wordnet,y
customer,Customer,1,clientele,datamuse,y
customer,Customer,1,collaborator,datamuse,n
customer,Customer,1,consumer,datamuse,y
customer,Customer,1,employer,datamuse,n
customer,Customer,1,lessee,datamuse,y
customer,Customer,1,licensee,datamuse,y
customer,Customer,1,patronage,datamuse,n
customer,Customer,1,purchaser,datamuse,y
customer,Customer,1,receivable,datamuse,n
customer,Customer,1,subscribe,datamuse,n
customer,Customer,1,user,datamuse,y
value_proposition,Value Proposition,1,appraise,wordnet,n
value_proposition,Value Proposition,1,appreciate,wordnet,n
value_proposition,Value Proposition,1,assess,wordnet,n
value_proposition,Value Proposition,1,brand equity,datamuse,y
value_proposition,Value Proposition,1,business case,datamuse,y
value_proposition,Value Proposition,1,competitive advantage,datamuse,y
value_proposition,Value Proposition,1,economic value,wordnet,y
value_proposition,Value Proposition,1,esteem,wordnet,n
value_proposition,Value Proposition,1,evaluate,wordnet,n
value_proposition,Value Proposition,1,line,datamuse,n
value_proposition,Value Proposition,1,measure,wordnet,n
value_proposition,Value Proposition,1,moneys worth,datamuse,y
value_proposition,Value Proposition,1,note value,wordnet,n
value_proposition,Value Proposition,1,pay off,datamuse,n
value_proposition,Value Proposition,1,point of difference,datamuse,y
value_proposition,Value Proposition,1,point of purchase,datamuse,n
value_proposition,Value Proposition,1,prise,wordnet,n
value_proposition,Value Proposition,1,private benefits,datamuse,y
value_proposition,Value Proposition,1,prize,wordnet,n
value_proposition,Value Proposition,1,proffer,wordnet,n
value_proposition,Value Proposition,1,proposal,wordnet,n
value_proposition,Value Proposition,1,proposition,datamuse|wordnet,y
value_proposition,Value Proposition,1,rate,wordnet,n
value_proposition,Value Proposition,1,respect,wordnet,n
value_proposition,Value Proposition,1,suggestion,wordnet,n
value_proposition,Value Proposition,1,time value,wordnet,y
value_proposition,Value Proposition,1,transaction utility,datamuse,y
value_proposition,Value Proposition,1,treasure,wordnet,n
value_proposition,Value Proposition,1,valuate,wordnet,n
value_proposition,Value Proposition,1,value,wordnet,y
value_proposition,Value Proposition,1,value add,datamuse,y
value_proposition,Value Proposition,1,value added service,datamuse,y
value_proposition,Value Proposition,1,value proposition canvas,datamuse,y
value_proposition,Value Proposition,1,value statement,datamuse,y
problem_definition,Problem Definition,1,definition,wordnet,y
problem_definition,Problem Definition,1,determination,datamuse,n
problem_definition,Problem Definition,1,determine,datamuse,n
problem_definition,Problem Definition,1,determining,datamuse,n
problem_definition,Problem Definition,1,diagnostic,datamuse,y
problem_definition,Problem Definition,1,figure,datamuse,n
problem_definition,Problem Definition,1,hard,datamuse,n
problem_definition,Problem Definition,1,hook,datamuse,n
problem_definition,Problem Definition,1,imagination,datamuse,n
problem_definition,Problem Definition,1,job,wordnet,n
